tree,branch
DDQCDGJets/crbbantigg;1,crantibbgg
DDQCDGJets/crbbantigg;1,crantibbantigg
DDQCDGJets/crbbantigg;1,sideband
DDQCDGJets/crbbantigg;1,idmva_sideband
DDQCDGJets/crbbantigg;1,idmva_presel
DDQCDGJets/crbbantigg;1,DeltaR_j1g1
DDQCDGJets/crbbantigg;1,DeltaR_j2g1
DDQCDGJets/crbbantigg;1,DeltaR_j1g2
DDQCDGJets/crbbantigg;1,DeltaR_j2g2
DDQCDGJets/crbbantigg;1,signal
DDQCDGJets/crbbantigg;1,isdata
DDQCDGJets/crbbantigg;1,isdd
DDQCDGJets/crbbantigg;1,run
DDQCDGJets/crbbantigg;1,lumi
DDQCDGJets/crbbantigg;1,event
DDQCDGJets/crbbantigg;1,weight_preselection
DDQCDGJets/crbbantigg;1,weight_selection
DDQCDGJets/crbbantigg;1,weight_srbbgg
DDQCDGJets/crbbantigg;1,weight_srbbggMET
DDQCDGJets/crbbantigg;1,weight_crbbantigg
DDQCDGJets/crbbantigg;1,weight_crantibbgg
DDQCDGJets/crbbantigg;1,weight_crantibbantigg
DDQCDGJets/crbbantigg;1,weight_sideband
DDQCDGJets/crbbantigg;1,weight_idmva_sideband
DDQCDGJets/crbbantigg;1,weight_idmva_presel
