mX,mY,region,eff_Loose,eff_Medium,eff_Tight,missing_years
900,650,srbbgg,0.566404,0.326770,0.168511,
900,700,srbbgg,0.555106,0.325005,0.167884,
950,90,srbbgg,0.802049,0.561330,0.349770,
950,95,srbbgg,0.808370,0.570309,0.353589,
950,100,srbbgg,0.800653,0.563346,0.351782,
950,125,srbbgg,0.782753,0.539996,0.328846,
950,150,srbbgg,0.770109,0.515619,0.311228,
950,170,srbbgg,0.755459,0.502287,0.295533,
950,200,srbbgg,0.741566,0.486624,0.284038,
950,250,srbbgg,0.715295,0.456511,0.261147,
950,300,srbbgg,0.695506,0.434218,0.242968,
950,350,srbbgg,0.676032,0.413263,0.230159,
950,400,srbbgg,0.653788,0.398129,0.218993,
950,450,srbbgg,0.637176,0.378745,0.205903,
950,500,srbbgg,0.619668,0.364409,0.196972,
950,550,srbbgg,0.597989,0.349782,0.186536,
950,600,srbbgg,0.583912,0.336021,0.177223,
950,650,srbbgg,0.568092,0.323891,0.168978,
950,700,srbbgg,0.557386,0.322236,0.162703,
950,800,srbbgg,0.529387,0.299574,0.152027,
1000,90,srbbgg,0.796857,0.554874,0.343100,
1000,95,srbbgg,0.800206,0.555238,0.344017,
1000,100,srbbgg,0.793554,0.555313,0.344428,
1000,125,srbbgg,0.778674,0.528638,0.320762,
1000,150,srbbgg,0.765315,0.515812,0.310246,
1000,170,srbbgg,0.755879,0.500353,0.298534,
1000,200,srbbgg,0.737051,0.483249,0.281335,
1000,250,srbbgg,0.714402,0.453279,0.258693,
1000,300,srbbgg,0.694147,0.429107,0.238746,
1000,350,srbbgg,0.671643,0.409881,0.228221,
1000,400,srbbgg,0.649704,0.384326,0.210319,
1000,450,srbbgg,0.635538,0.375046,0.200510,
1000,500,srbbgg,0.608446,0.354972,0.189352,
1000,550,srbbgg,0.601792,0.350363,0.182443,
1000,600,srbbgg,0.579450,0.327423,0.167819,
1000,650,srbbgg,0.568810,0.326518,0.168761,
1000,700,srbbgg,0.545884,0.300342,0.151254,
1000,800,srbbgg,0.520264,0.292692,0.145496,
